index,filename,block,block_namespace_id,block_details,block_natural_position,biome,biome_namespace_id,weather,dimension,dimension_namespace_id,time_ticks,time_description,version
0,iron_ore_000.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
1,iron_ore_001.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
2,iron_ore_002.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
3,iron_ore_003.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
4,iron_ore_004.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
5,iron_ore_005.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
6,iron_ore_006.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
7,iron_ore_007.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
8,iron_ore_008.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
9,iron_ore_009.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
10,iron_ore_010.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
11,iron_ore_011.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
12,iron_ore_012.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
13,iron_ore_013.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
14,iron_ore_014.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
15,iron_ore_015.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
16,iron_ore_016.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
17,iron_ore_017.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
18,iron_ore_018.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
19,iron_ore_019.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
20,iron_ore_020.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
21,iron_ore_021.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
22,iron_ore_022.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
23,iron_ore_023.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
24,iron_ore_024.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
25,iron_ore_025.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
26,iron_ore_026.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
27,iron_ore_027.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
28,iron_ore_028.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
29,iron_ore_029.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
30,iron_ore_030.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
31,iron_ore_031.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
32,iron_ore_032.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
33,iron_ore_033.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
34,iron_ore_034.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
35,iron_ore_035.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
36,iron_ore_036.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
37,iron_ore_037.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
38,iron_ore_038.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
39,iron_ore_039.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
40,iron_ore_040.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
41,iron_ore_041.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
42,iron_ore_042.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
43,iron_ore_043.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
44,iron_ore_044.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
45,iron_ore_045.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
46,iron_ore_046.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
47,iron_ore_047.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
48,iron_ore_048.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
49,iron_ore_049.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
50,iron_ore_050.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
51,iron_ore_051.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
52,iron_ore_052.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
53,iron_ore_053.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
54,iron_ore_054.png,iron_ore,minecraft:iron_ore,N/A,True,cave,N/A,N/A,overworld,minecraft:overworld,N/A,N/A,1.17.1
